Team,SOS,NET,Offensive Rating,Defensive Rating,EFG,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,PACE,3PAR,FTAR,PPG,FG%,2FG%,3FG%,FT%,APG,AST-TOV,Allowed_PPG,Allowed_FG%,2Point_Allowed_FG%,3Point_Allowed_FG%,SPG,BPG,Fouls,ADJOE,ADJDE,BARTHAG,WAB,CONF
Duke,23,1,125.5,93.7,58.20%,61.60%,34.20%,73.30%,55.60%,58.30%,10.00%,6.60%,66.7,0.448,0.326,83.7,49.60%,58.40%,38.60%,79.00%,17,1.81,62.6,38.50%,43.30%,30.80%,6.7,3.9,15.8,130.21,91.84,0.98242,9.35,ACC
Gonzaga,42,8,121.8,98.1,56.10%,59.70%,32.50%,73.20%,53.80%,62.40%,10.50%,4.90%,70.2,0.336,0.307,86.4,50.10%,57.60%,35.40%,80.40%,19.7,2.07,69.9,41.40%,48.90%,30.30%,7.5,3,16.9,124.711,96.628,0.94998,2.632,WCC
Florida,14,4,121.2,98.7,55.10%,58.10%,38.90%,70.90%,55.70%,52.50%,10.50%,7.40%,70.5,0.437,0.343,85.4,47.30%,56.20%,35.80%,72.70%,15.7,1.44,69.7,40.00%,46.20%,29.60%,7.4,4.5,17.3,128.62,94.815,0.97084,11.03,SEC
High Point,190,82,120.6,105.2,56.30%,59.90%,33.50%,69.40%,52.40%,45.20%,8.70%,4.60%,67.1,0.394,0.372,81.2,49.10%,57.30%,36.60%,76.20%,12.8,1.25,70.7,43.20%,48.90%,32.90%,5.8,2.6,18.3,117.73,108.121,0.725783,-1.866,BSth
Auburn,2,2,120.4,99.6,55.10%,58.10%,34.40%,70.50%,52.90%,55.20%,9.70%,10.30%,68.9,0.407,0.338,83.2,47.70%,55.70%,36.10%,72.80%,16.3,1.74,69.2,40.60%,46.60%,29.60%,6.8,6,18.4,128.13,93.09,0.97543,12.61,SEC
Villanova,107,55,119.7,109.2,54.90%,60.40%,30.20%,72.60%,52.30%,49.00%,8.90%,4.20%,61.6,0.436,0.289,73.7,46.20%,51.10%,39.80%,80.00%,12.1,1.26,67.4,43.10%,50.30%,34.70%,5.5,2.2,15,119.62,102.595,0.855845,-2.874,BE
Missouri,24,16,119.4,105.1,55.80%,59.60%,33.50%,67.70%,50.90%,49.00%,13.30%,4.60%,69.8,0.414,0.471,83.6,48.20%,56.30%,36.70%,73.00%,13.5,1.24,73.6,44.50%,51.20%,33.60%,9.4,2.6,18.3,125.97,101.18,0.926019,3.13,SEC
Texas Tech,30,7,119.4,101.3,54.80%,57.80%,34.20%,71.70%,53.10%,56.20%,9.30%,5.50%,66.6,0.444,0.292,80.9,46.60%,54.50%,36.70%,76.00%,16.1,1.67,68.5,42.60%,47.90%,32.40%,6.3,3.1,15.8,126.06,97.436,0.95057,5.711,B12
North Dakota State,275,136,118.9,112.5,58.20%,61.60%,26.20%,71.00%,50.20%,55.20%,5.30%,2.90%,66.7,0.536,0.326,80.7,47.60%,56.50%,39.80%,79.00%,14.9,1.41,76,44.60%,51.30%,34.30%,3.6,1.8,15.1,115.552,111.327,0.6050122,-6.513,Sum
Oregon State,170,85,118.9,109.5,54.60%,60.90%,31.80%,72.40%,53.30%,55.20%,9.50%,5.00%,62.9,0.359,0.389,75.7,48.00%,54.50%,36.50%,78.90%,13.9,1.32,69.3,43.90%,50.40%,34.70%,6,2.7,15.6,115.849,107.9206,0.691494,-4.496,WCC
Alabama,1,6,118.8,105.9,56.60%,59.60%,33.70%,70.60%,53.50%,55.30%,8.00%,6.60%,75.8,0.466,0.393,90.7,48.40%,59.70%,35.30%,72.00%,17.1,1.35,81.3,42.60%,49.00%,30.40%,6.2,4.5,19,127.74,96.526,0.96185,10.04,SEC
Utah State,80,37,117.6,105.2,55.30%,58.10%,34.70%,69.60%,52.00%,60.90%,12.40%,5.20%,67,0.426,0.37,78.8,47.80%,57.50%,34.90%,70.20%,16.8,1.56,70.5,44.40%,52.70%,34.00%,8.3,2.8,18.2,121.416,105.4148,0.835554,2.136,MWC
Saint Thomas,301,118,117.4,109.2,57.80%,61.10%,21.50%,68.60%,45.90%,52.10%,9.70%,5.40%,69.2,0.468,0.34,81.6,48.80%,58.10%,38.30%,77.60%,14.6,1.53,76.1,45.20%,52.00%,35.50%,6.8,3.1,18.3,114.06,108.9231,0.6300113,-5.3113,Sum
Connecticut,67,32,117.3,104.2,55.00%,58.60%,35.50%,72.20%,54.60%,63.50%,8.30%,11.40%,64.7,0.427,0.308,77,47.50%,57.00%,34.80%,79.10%,17.3,1.56,68,42.10%,45.80%,35.00%,5.4,6.2,18.3,121.515,101.077,0.893832,2.335,BE
BYU,58,25,117.2,105,57.00%,59.20%,33.70%,73.70%,54.30%,59.40%,10.30%,5.30%,68.3,0.476,0.304,81.4,48.20%,58.60%,36.80%,71.30%,17.2,1.43,72.6,43.20%,49.60%,35.70%,7.1,3.1,16.3,126.85,100.164,0.938314,4.721,B12
Yale,111,72,116.8,103.2,54.70%,57.70%,32.70%,74.10%,54.40%,53.50%,8.20%,5.90%,69,0.322,0.318,80.7,48.50%,53.30%,38.40%,73.40%,15.8,1.58,70.9,41.10%,48.20%,33.40%,5.7,3.5,16.4,114.061,104.0116,0.740978,-2.773,Ivy
Houston,12,3,116.7,92.2,52.30%,55.20%,36.80%,71.30%,53.90%,45.60%,12.40%,8.80%,62.4,0.346,0.274,74,45.40%,48.40%,39.70%,74.10%,12.3,1.36,58.3,38.20%,44.50%,30.10%,7.9,4.5,16.2,125.29,87.41,0.98421,11.42,B12
Purdue,4,19,116.7,106.4,55.90%,58.90%,31.80%,70.30%,51.70%,58.10%,9.70%,2.90%,66.2,0.384,0.346,77.2,48.60%,55.10%,38.20%,73.20%,15.9,1.53,70.4,45.20%,55.60%,31.10%,6.4,1.6,15.9,125.48,99.354,0.935715,4.623,B10
Arizona,8,12,116.5,103.1,53.30%,57.50%,36.00%,72.10%,55.00%,55.60%,10.70%,7.10%,70.3,0.347,0.358,82.5,47.40%,54.70%,33.80%,78.00%,16.2,1.42,73.3,41.90%,47.50%,34.00%,7.6,4.4,16.9,124.91,97.333,0.94641,5.315,B12
Wisconsin,29,15,116.4,102.8,53.80%,58.40%,28.00%,73.30%,51.70%,54.20%,7.40%,3.90%,68.6,0.482,0.342,80.1,45.40%,55.20%,34.80%,82.60%,14.5,1.51,70.9,41.60%,46.90%,33.30%,5.1,2.4,16.5,123.013,96.831,0.940212,6.21,B10
Kentucky,3,14,116.1,106.8,55.90%,58.90%,28.10%,73.50%,51.80%,57.00%,9.60%,6.40%,72.5,0.412,0.352,84.4,48.20%,55.70%,37.50%,73.10%,16.9,1.54,77.2,43.70%,53.90%,30.50%,6.9,4,17.2,123.512,98.441,0.931617,5.512,SEC
Cornell,155,120,116,109.2,58.70%,61.30%,25.40%,71.20%,49.70%,60.20%,8.30%,4.80%,71.9,0.486,0.287,83.4,49.60%,61.10%,37.50%,76.20%,17.9,1.49,78.7,45.50%,52.40%,34.70%,6,3,16.9,114.856,110.9263,0.5982128,-7.2143,Ivy
Santa Clara,90,57,116,102.8,56.00%,58.50%,32.70%,73.30%,53.50%,59.50%,9.20%,5.00%,69.9,0.464,0.284,81.9,47.20%,54.90%,38.20%,72.70%,17.3,1.46,73,43.30%,51.20%,31.30%,6.5,3,16.4,116.54,100.268,0.850047,-3.582,WCC
SMU,100,46,116,102.2,54.50%,57.60%,36.30%,70.10%,53.90%,56.10%,11.50%,6.30%,68.9,0.351,0.367,79.9,47.80%,53.30%,37.80%,71.40%,15.9,1.33,71.3,41.30%,47.10%,33.10%,8.1,3.7,16.9,116.246,101.079,0.833155,-0.657,ACC
UC San Diego,148,35,115.8,94.1,55.10%,58.30%,25.60%,71.20%,48.60%,56.60%,14.10%,4.00%,66.9,0.496,0.334,77.5,46.10%,56.00%,36.10%,74.70%,15,1.67,63,40.40%,46.30%,33.10%,9.4,2.2,16.7,112.973,97.537,0.844551,0.846,BW
Iowa,61,63,115.5,110.8,56.80%,58.70%,25.10%,67.80%,46.40%,59.80%,9.20%,6.80%,71.1,0.41,0.26,82.5,49.00%,56.60%,38.00%,70.50%,18.3,1.87,79.7,47.70%,56.30%,34.40%,6.6,4.2,15.5,119.919,106.5176,0.795865,-2.369,B10
UAB,85,106,115.5,108.9,50.30%,54.20%,37.60%,69.70%,53.30%,53.30%,9.20%,6.70%,70,0.294,0.314,81.4,45.30%,50.10%,33.90%,75.90%,15.8,1.63,76.6,45.20%,50.50%,35.10%,6.5,4.2,15.6,116.541,108.7226,0.689295,-6.1124,Amer
Chattanooga,153,115,115.4,107.6,56.50%,59.70%,25.50%,70.40%,49.10%,60.10%,10.10%,4.90%,67.2,0.454,0.314,79.2,48.20%,57.90%,36.50%,77.10%,16.7,1.62,73.9,44.40%,50.70%,35.30%,6.9,2.9,16.2,114.857,110.8262,0.6010126,-4.188,SC
Akron,131,91,114.8,104.6,55.00%,57.70%,32.20%,70.70%,51.70%,57.50%,10.30%,6.00%,72.4,0.452,0.27,83.4,46.70%,55.20%,36.40%,75.10%,17.2,1.45,76.4,43.90%,51.00%,32.40%,7.5,3.7,18.2,113.466,106.8181,0.66531,-1.763,MAC
Maryland,40,10,114.7,95,53.60%,57.00%,30.70%,71.80%,51.70%,49.10%,11.20%,7.50%,70.4,0.353,0.331,81.1,47.00%,52.20%,37.40%,75.00%,14.2,1.4,67.2,41.60%,47.80%,30.60%,7.9,4.4,15.3,118.427,92.15,0.94759,4.82,B10
VCU,97,31,114.7,94.3,52.40%,55.80%,36.50%,69.80%,53.10%,56.50%,12.20%,9.90%,66.2,0.478,0.315,76.2,44.30%,54.00%,33.70%,74.40%,14.9,1.33,63,39.40%,44.10%,30.70%,8.2,5.4,18.1,116.048,96.627,0.891633,0.944,A10
Illinois,16,17,114.6,102.9,52.40%,56.30%,35.80%,74.20%,56.00%,51.70%,5.90%,6.30%,72.4,0.472,0.344,83.6,45.10%,57.30%,31.30%,76.20%,14.9,1.27,74.8,42.30%,46.10%,33.60%,4.3,4.1,16.2,122.414,98.543,0.92402,3.627,B10
Clemson,54,22,114.5,98.8,53.40%,56.60%,33.70%,69.60%,52.00%,52.00%,11.10%,6.20%,65,0.389,0.283,76.1,46.20%,52.20%,36.80%,76.80%,14.2,1.35,65.8,42.80%,49.50%,31.80%,7.4,3.5,15.2,117.334,95.519,0.914226,4.622,ACC
Iowa State,46,9,114.4,96.9,54.90%,58.60%,32.20%,72.10%,53.00%,53.40%,13.20%,6.00%,69.3,0.368,0.379,80.3,48.30%,55.50%,35.80%,75.30%,15,1.25,68.3,42.00%,47.90%,33.60%,9.3,3.4,16.2,119.421,93.21,0.944911,5.316,B12
Tennessee,6,5,114.4,96.8,52.50%,56.30%,35.60%,69.80%,53.50%,60.50%,10.60%,8.30%,64.7,0.434,0.355,74,45.20%,54.00%,33.80%,74.50%,15.4,1.47,63.1,38.60%,46.60%,28.70%,6.9,4.7,15.2,120.118,91.73,0.95706,9.26,SEC
UNCW,160,102,114.4,104.5,52.10%,56.20%,35.20%,71.80%,53.90%,55.10%,9.40%,5.90%,66.3,0.364,0.374,76.6,46.10%,53.70%,32.80%,75.50%,14.7,1.36,70.3,43.40%,50.70%,34.00%,6.3,3.4,16.8,112.379,106.6178,0.6455108,-3.379,CAA
North Alabama,283,113,114.3,104.8,51.30%,54.30%,33.40%,71.20%,52.10%,42.30%,10.60%,5.40%,67.3,0.345,0.31,77.5,45.40%,51.00%,34.60%,70.40%,11.9,1.38,71,43.30%,51.60%,32.50%,7.2,3.2,15,110.897,107.0185,0.6008127,-5.9121,ASun
North Texas,93,65,114.3,101.6,51.60%,57.60%,32.60%,72.10%,52.60%,45.20%,11.80%,5.30%,59,0.368,0.358,67.5,44.90%,50.10%,36.00%,77.20%,10.2,1.01,60.6,41.20%,47.90%,30.30%,7,2.6,14.8,109.7112,98.744,0.772069,-1.865,Amer
Lipscomb,241,84,114.2,100.7,55.60%,59.20%,23.80%,73.40%,50.40%,55.00%,9.80%,4.70%,67.2,0.476,0.312,77,46.90%,56.50%,36.40%,79.60%,14.6,1.47,68.2,43.30%,50.50%,31.20%,6.7,2.8,12.8,109.9108,104.3123,0.6473107,-4.392,ASun
Northern Colorado,286,114,114,106.7,57.00%,59.60%,25.70%,77.80%,52.40%,52.40%,8.50%,3.70%,68.9,0.375,0.33,79.4,50.00%,57.90%,37.00%,72.60%,15.1,1.37,74.5,46.20%,51.90%,35.40%,5.9,2.1,18,112.184,107.4189,0.6208117,-4.291,BSky
Saint Mary's College,49,21,113.8,96.5,50.30%,53.20%,39.80%,75.30%,57.20%,56.20%,9.50%,7.20%,63.5,0.332,0.311,72.7,44.90%,51.20%,32.30%,69.50%,15,1.57,61.8,41.50%,46.20%,31.50%,6.1,4,15.1,114.159,92.98,0.913627,4.224,WCC
Illinois State,140,121,113.7,108.6,56.30%,59.30%,24.70%,74.90%,50.30%,53.90%,8.40%,3.20%,65.6,0.467,0.318,74.9,47.70%,57.00%,37.10%,74.80%,14.1,1.35,72.4,45.60%,53.00%,35.50%,5.6,1.8,16.9,112.971,108.8228,0.6066121,-7.9155,MVC
McNeese,127,58,113.5,97.9,53.00%,55.90%,34.50%,68.30%,51.70%,49.90%,13.30%,6.40%,65.8,0.366,0.353,74.7,46.60%,53.10%,35.20%,69.40%,13.3,1.24,64.5,40.10%,46.90%,32.40%,8.8,3.5,16.7,113.564,99.963,0.813359,-0.758,Slnd
Texas,50,39,113.5,104.3,52.60%,56.60%,29.70%,70.60%,50.70%,47.20%,9.00%,7.30%,68.2,0.353,0.368,78.5,46.30%,51.80%,36.20%,74.90%,12.9,1.29,72.6,42.70%,47.80%,33.80%,6.3,4.3,18.7,117.532,100.874,0.852646,0.0851,SEC
North Carolina,17,36,113.4,104.8,54.10%,57.50%,29.10%,73.10%,52.10%,51.40%,8.40%,5.90%,70.7,0.372,0.348,80.7,47.50%,54.50%,35.60%,74.10%,14.7,1.37,74.7,43.20%,49.10%,33.50%,6,3.6,16.9,119.322,99.762,0.886734,1.243,ACC
Samford,164,116,113.2,107,54.60%,57.20%,34.60%,66.50%,50.00%,56.10%,13.30%,6.00%,71.4,0.471,0.294,81.5,45.90%,54.00%,36.90%,72.10%,16.1,1.21,76.8,45.70%,54.10%,35.00%,9.6,3.4,19.8,110.898,109.3238,0.5389146,-4.9108,SC
Louisville,31,24,113.1,100.4,53.20%,56.70%,31.90%,72.90%,52.70%,51.30%,9.20%,4.80%,69.2,0.478,0.337,78.5,45.40%,56.80%,32.80%,74.60%,13.9,1.23,69.5,42.90%,48.70%,34.10%,6.4,2.8,15.6,118.028,95.821,0.915825,5.314,ACC
Boise State,73,44,112.9,99.4,52.20%,56.90%,33.00%,77.70%,55.70%,56.30%,8.30%,4.60%,65.8,0.43,0.382,74.6,45.50%,56.30%,31.20%,78.10%,14.2,1.29,65.9,43.30%,48.70%,34.10%,5.5,2.5,16.3,115.054,98.947,0.850048,-0.1554,MWC
South Dakota State,263,130,112.9,107.3,53.70%,57.00%,33.70%,78.60%,56.60%,48.90%,6.30%,3.80%,70,0.399,0.312,79,46.70%,54.50%,34.90%,75.30%,13.8,1.12,75.1,43.00%,52.20%,32.90%,4.4,2.3,16.9,109.711,106.8182,0.5769133,-6.3125,Sum
Bradley,86,80,112.8,103,56.70%,59.60%,26.10%,72.10%,51.00%,53.00%,9.00%,6.60%,65.9,0.423,0.324,75.4,48.30%,54.60%,39.70%,74.80%,14,1.21,69.3,40.80%,47.20%,32.30%,6.1,3.8,16.8,111.79,103.1104,0.716287,-1.764,MVC
Mississippi State,22,34,112.8,105.7,51.90%,54.80%,33.90%,70.10%,51.50%,53.30%,13.00%,7.60%,69.7,0.427,0.315,79.5,45.20%,55.40%,31.40%,70.10%,15.2,1.42,74.2,43.90%,50.30%,35.80%,9.1,4.4,17.4,118.5,99.1,0.8861,3,SEC
Baylor,15,30,112.7,106.2,51.10%,54.60%,36.00%,69.10%,51.90%,52.90%,11.10%,4.80%,65.5,0.401,0.305,75.2,44.30%,50.90%,34.30%,74.80%,14.1,1.33,70.3,44.60%,50.80%,35.90%,7.3,2.6,16.5,121.317,100.266,0.900428,1.939,B12
Dayton,60,67,112.6,105.9,53.00%,56.90%,29.40%,71.30%,50.70%,59.20%,10.50%,6.00%,66,0.41,0.374,75.4,45.60%,52.10%,36.10%,75.10%,15.2,1.46,71.3,44.10%,52.50%,32.90%,7.1,3.4,16.1,115.055,105.3145,0.733479,-1.662,A10
Pittsburgh,78,61,112.6,105.2,52.20%,56.40%,29.00%,70.10%,49.50%,51.40%,10.80%,7.30%,66.9,0.414,0.342,75.9,45.10%,52.40%,34.60%,78.20%,13.4,1.34,70.8,43.90%,50.40%,34.70%,7.3,4.1,16.4,113.962,103.0102,0.760872,-4.087,ACC
Vanderbilt,43,48,112.5,106.1,51.60%,55.30%,31.50%,70.20%,50.00%,49.80%,12.80%,7.00%,69.9,0.405,0.335,78.9,45.00%,53.60%,32.50%,74.60%,13.8,1.36,74.3,45.90%,51.50%,36.60%,9,3.9,17.9,118.624,101.078,0.864144,1.54,SEC
Wofford,115,131,112.5,108.7,53.20%,55.40%,35.20%,73.70%,54.30%,55.00%,8.40%,4.70%,64.4,0.477,0.306,73.1,44.90%,54.20%,34.80%,66.70%,14.2,1.29,70.8,44.00%,52.00%,34.50%,5.5,2.6,17.3,111.987,109.925,0.5496141,-9.7193,SC
Colorado State,64,47,112.4,100.3,55.50%,59.00%,27.00%,74.20%,52.30%,62.30%,7.70%,4.90%,66.2,0.428,0.316,75.2,47.70%,56.40%,36.30%,77.50%,16.5,1.43,67.3,42.20%,47.70%,33.20%,5.1,2.8,17.2,117.531,99.048,0.878539,0.647,MWC
Drake,118,56,112.4,99.2,53.90%,57.20%,35.30%,74.30%,54.30%,55.20%,14.40%,5.20%,59.8,0.362,0.427,68.5,47.40%,54.10%,35.60%,70.00%,13,1.17,60.2,45.40%,54.40%,31.20%,8.8,2.4,16.2,113.17,97.738,0.843352,2.634,MVC
South Dakota,322,233,112.4,115.5,50.10%,54.50%,30.00%,64.30%,46.50%,38.30%,9.70%,4.80%,75.1,0.375,0.454,84.4,44.20%,51.70%,31.60%,71.40%,10.8,1.14,86.6,47.80%,55.40%,35.90%,7.3,3.1,19.1,108.5133,114.4319,0.3509237,-9.018,Sum
Michigan State,11,11,112.1,97.2,50.90%,55.60%,35.30%,75.30%,56.30%,61.00%,7.70%,7.80%,69.1,0.329,0.377,77.7,45.80%,53.00%,31.10%,77.90%,16.5,1.46,67.1,40.50%,49.10%,28.00%,5.3,4.6,16.7,117.136,92.37,0.939313,8.17,B10
Ohio State,28,41,112.1,105.1,53.50%,57.20%,29.00%,69.50%,49.70%,47.60%,9.20%,5.80%,68.7,0.379,0.358,78.8,46.60%,52.70%,36.60%,74.80%,13.1,1.19,73.5,42.80%,50.30%,30.40%,6.4,3.4,19.6,117.333,99.761,0.866343,-0.759,B10
Oklahoma,38,43,111.9,106.8,54.40%,59.10%,26.60%,68.20%,48.30%,51.60%,11.20%,3.90%,69.9,0.416,0.399,78.3,46.80%,54.10%,36.50%,79.50%,13.4,1.11,74.6,44.60%,55.00%,30.30%,7.8,2.3,18.5,117.038,100.67,0.849649,2.037,SEC
UCLA,37,27,111.8,98.6,52.80%,55.80%,32.70%,70.30%,51.00%,61.10%,12.20%,6.10%,66.3,0.365,0.323,74.2,46.40%,52.80%,35.20%,71.00%,16.3,1.54,65.2,42.70%,50.70%,32.80%,8.1,3.1,17.3,117.729,94.314,0.927518,3.528,B10
Marquette,33,26,111.7,100,52.00%,54.60%,30.00%,69.00%,48.70%,49.40%,13.10%,6.50%,68,0.465,0.259,76.6,44.40%,54.80%,32.60%,72.00%,13.7,1.47,68.7,43.60%,51.30%,31.80%,9,3.6,16,116.739,96.83,0.89573,3.726,BE
Purdue Fort Wayne,243,156,111.6,107.2,54.70%,57.70%,22.00%,67.20%,44.40%,47.60%,11.40%,4.40%,70.3,0.456,0.291,79.4,46.30%,54.00%,37.10%,75.10%,13.3,1.35,76.3,46.70%,56.20%,32.60%,8.1,2.6,16.2,107.9139,108.6222,0.4799171,-8.4166,Horz
Belmont,129,129,111.5,109.2,54.80%,57.10%,27.20%,70.60%,48.80%,60.10%,10.00%,5.20%,70.5,0.446,0.261,78.9,46.30%,52.90%,38.10%,71.30%,17.1,1.52,76.8,46.10%,54.60%,35.10%,7,3.1,15.6,112.183,108.2212,0.6022124,-5.211,MVC
Omaha,221,160,111.5,110.8,52.60%,56.20%,29.80%,74.10%,51.70%,49.70%,8.40%,3.90%,69,0.391,0.36,77,45.70%,52.10%,35.60%,73.00%,13.3,1.23,76.2,45.30%,53.50%,35.20%,5.8,2.2,18.4,112.085,109.0236,0.5776132,-6.6133,Sum
Xavier,71,45,111.5,102.6,54.10%,58.40%,24.40%,74.50%,50.40%,62.80%,11.10%,4.30%,69.6,0.376,0.367,78.1,46.70%,51.20%,39.10%,78.90%,16.7,1.53,71.6,44.60%,50.60%,34.40%,7.7,2.5,15.7,117.137,98.745,0.87634,0.549,BE
FAU,84,111,111.4,108.5,53.40%,56.20%,30.80%,68.60%,50.20%,56.90%,8.50%,7.20%,69.3,0.403,0.333,78.1,46.30%,53.90%,35.10%,70.00%,15.8,1.38,76.4,43.50%,47.00%,37.10%,6,4.4,17.4,112.576,107.5192,0.6295114,-7.8154,Amer
Montana,183,143,111.3,110.3,56.00%,59.20%,22.50%,71.00%,48.00%,49.40%,8.90%,5.20%,67.3,0.368,0.356,75.2,49.30%,56.90%,36.30%,74.60%,13.2,1.21,75,46.60%,53.70%,33.60%,6.1,3,16.5,111.888,109.0234,0.5732134,-3.177,BSky
Toledo,137,238,111.2,116.8,50.50%,54.70%,29.80%,69.20%,48.70%,45.60%,7.50%,4.30%,69.8,0.285,0.355,77.9,45.70%,50.60%,33.60%,75.70%,12.7,1.33,81.1,49.30%,55.90%,38.30%,5.2,2.6,15.9,111.193,118.7355,0.318025,-9.0178,MAC
UNC Asheville,194,192,111.2,112,52.00%,55.40%,29.80%,66.00%,47.50%,45.60%,10.10%,7.00%,70,0.35,0.344,78.9,46.00%,52.40%,34.20%,72.20%,12.9,1.22,79.5,46.50%,53.80%,35.20%,7.2,4.1,19.3,107.0158,112.6299,0.3577233,-6.5131,BSth
