Team,SOS,NET,Offensive Rating,Defensive Rating,EFG,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,PACE,3PAR,FTAR,PPG,FG%,2FG%,3FG%,FT%,APG,AST-TOV,Allowed_PPG,Allowed_FG%,2Point_Allowed_FG%,3Point_Allowed_FG%,SPG,BPG,Fouls,ADJOE,ADJDE,BARTHAG,WAB,CONF
Marshall,203,177,107.7,105,49.90%,53.20%,33.00%,70.40%,51.20%,53.30%,9.00%,9.80%,69.1,0.396,0.348,74.7,43.60%,51.00%,32.30%,69.00%,14,1.23,72.5,44.00%,49.70%,32.20%,6.2,5.5,19.5,105.919,106.6179,0.4817168,-8.7173,SB
Nebraska,39,59,107.7,104,51.70%,55.70%,26.80%,71.40%,49.80%,52.40%,10.30%,4.80%,69.2,0.385,0.36,75.7,45.50%,53.60%,32.50%,74.70%,13.8,1.21,73,43.10%,50.80%,34.00%,7.2,2.9,15.8,112.282,99.252,0.804963,-1.261,B10
Charleston,181,150,107.6,103.9,52.40%,55.50%,26.50%,71.70%,49.80%,58.70%,9.00%,3.80%,70.2,0.4,0.346,76.7,45.30%,51.80%,35.50%,71.10%,15.8,1.37,73.9,43.80%,51.40%,32.10%,6.4,2.3,15.7,105.3198,105.3144,0.500916,-4.6102,CAA
Idaho,297,269,107.6,114.2,51.80%,55.70%,28.90%,68.70%,48.70%,48.70%,8.20%,4.80%,66.7,0.479,0.336,72.1,43.40%,51.50%,34.70%,76.10%,11.8,0.99,76.6,47.10%,55.10%,34.90%,5.5,2.7,17.7,107.814,115.4333,0.3135252,-14.2279,BSky
Northern Arizona,349,248,107.6,109.6,50.30%,52.60%,31.90%,75.60%,52.30%,51.70%,8.30%,2.20%,67.3,0.378,0.285,72.5,43.80%,49.50%,34.40%,66.10%,13.7,1.35,73.3,46.90%,52.90%,36.70%,5.6,1.2,16.2,104.2217,111.5274,0.3144251,-11.6227,BSky
Saint Louis,51,101,107.6,105,56.30%,58.40%,23.40%,72.00%,50.00%,56.40%,8.70%,4.50%,67.8,0.501,0.3,73.6,47.50%,59.90%,35.10%,69.20%,14.8,1.16,72.6,42.50%,48.30%,33.70%,6,2.8,14.7,109.1123,104.9137,0.609512,-6.6135,A10
UC Riverside,114,142,107.6,110.2,49.50%,53.20%,32.20%,71.20%,51.00%,47.80%,7.60%,3.80%,68.2,0.422,0.28,74.5,42.40%,48.80%,33.60%,76.90%,12.5,1.12,76.4,45.30%,51.60%,35.30%,5.3,2.2,18.4,109.5114,110.3253,0.480117,-4.9105,BW
Indiana,20,54,107.5,104.1,51.10%,54.30%,31.50%,71.90%,51.90%,58.40%,8.40%,5.60%,69.2,0.332,0.331,74.7,45.80%,52.60%,32.10%,70.60%,15.9,1.37,72,43.40%,50.30%,32.70%,5.8,3.3,16.6,112.972,97.739,0.841253,0.648,B10
Rhode Island,144,152,107.5,104.6,52.80%,56.10%,28.30%,71.40%,50.70%,51.40%,8.10%,5.30%,70.9,0.377,0.411,77.1,46.30%,53.30%,34.60%,69.30%,13.7,1.07,75.2,43.00%,50.60%,31.50%,5.8,3.3,16.3,107.7145,108.0209,0.4919164,-8.0156,A10
Towson,145,151,107.5,104.2,47.90%,50.80%,35.30%,72.00%,52.40%,41.40%,9.50%,5.90%,63.8,0.372,0.284,69.4,41.70%,46.70%,33.40%,68.20%,10.4,1.11,67.7,44.20%,50.70%,34.10%,6.2,3.3,16.1,106.2187,106.9184,0.4805169,-5.9122,CAA
Cal Poly,151,180,107.4,109.9,55.20%,58.10%,27.60%,66.80%,47.30%,52.90%,10.40%,3.20%,74.9,0.511,0.268,81.6,45.90%,56.00%,36.30%,76.90%,15.1,0.96,83.4,46.30%,54.30%,34.40%,7.9,2.1,18.3,108.8125,111.1266,0.4421187,-11.9235,BW
Jacksonville State,94,122,107.4,105.1,49.80%,53.50%,31.00%,73.80%,52.80%,43.50%,7.30%,5.70%,65.6,0.369,0.318,70.9,43.50%,49.10%,33.90%,74.30%,10.9,1.04,69.3,41.80%,47.30%,34.60%,4.8,3.3,14.5,108.613,104.8133,0.6026123,-5.6117,CUSA
